STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement_Flag,Quality_Flag,Source_Flag,Time_Observation,TMIN,Measurement_Flag2,Quality_Flag2,Source_Flag2,Time_Observation2
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20040925,128,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20040926,150,9999,9999,T,9999,-22,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20040927,117,9999,9999,T,9999,-28,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20040928,122,9999,9999,T,9999,-22,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20040929,133,9999,9999,T,9999,6,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20040930,33,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041001,6,9999,9999,T,9999,-11,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041002,106,9999,9999,T,9999,-11,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041003,117,9999,9999,T,9999,-22,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041004,106,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041005,111,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041006,33,9999,9999,T,9999,-11,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041007,100,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041008,150,9999,9999,T,9999,-33,9999,9999,T,9999
