MinimumResidual MaximumResidual Longitude Latitude
4.75212765957447 7.7968085106383 -103.1417 40.155
-7.54787234042553 -5.0031914893617 -105.8919 38.9933
-6.44787234042553 -1.6031914893617 -105.4767 39.4047
-3.64787234042553 4.4968085106383 -108.8903 38.3189
-3.64787234042553 -5.5031914893617 -107.6872 38.5547
3.05212765957447 7.7968085106383 -102.1192 39.6567
7.45212765957447 1.6968085106383 -105.2667 39.9919
3.55212765957447 -0.503191489361704 -105.2969 40.6158
-5.24787234042553 -2.8031914893617 -106.1275 38.8247
6.35212765957447 8.3968085106383 -102.2608 39.3061
-4.74787234042553 -7.8031914893617 -105.7089 39.6553
5.85212765957447 6.6968085106383 -102.555 37.0158
2.45212765957447 4.9968085106383 -105.2256 38.46
-1.44787234042553 -3.3031914893617 -107.8922 38.9028
-0.247872340425532 -8.3031914893617 -106.1444 37.7067
-3.04787234042553 -0.00319148936170421 -105.2783 39.2203
1.95212765957447 7.7968085106383 -103.51 38.115
3.05212765957447 -0.503191489361704 -102.3614 38.8175
-3.04787234042553 -10.5031914893617 -107.5592 38.4442
-3.04787234042553 -7.2031914893617 -105.3847 39.8958
-9.14787234042553 -2.2031914893617 -106.7611 38.4461
1.35212765957447 -2.2031914893617 -107.9797 39.2367
-8.64787234042553 -4.4031914893617 -105.8272 39.2878
1.95212765957447 0.596808510638297 -108.5931 37.3444
-4.74787234042553 -12.8031914893617 -106.9253 37.8531
-5.84787234042553 -6.6031914893617 -106.9769 38.8739
1.95212765957447 7.1968085106383 -102.8031 40.86
-7.54787234042553 -5.5031914893617 -106.3247 37.6742
-10.8478723404255 -5.5031914893617 -106.0353 39.6261
0.252127659574468 -1.6031914893617 -108.4975 37.4753
-0.247872340425532 -3.3031914893617 -108.9119 37.7672
6.95212765957447 8.3968085106383 -102.7769 38.4758
1.95212765957447 2.7968085106383 -104.6292 39.3811
1.95212765957447 -2.2031914893617 -105.5108 40.3689
1.35212765957447 -7.2031914893617 -105.9936 39.2219
3.05212765957447 0.596808510638297 -105.1314 40.6147
1.35212765957447 2.1968085106383 -105.0236 40.5756
-7.54787234042553 -5.5031914893617 -105.8172 39.9425
4.75212765957447 4.4968085106383 -103.4958 39.2775
-3.04787234042553 -2.2031914893617 -105.6997 39.7053
-0.247872340425532 -3.3031914893617 -109.0528 38.9539
4.75212765957447 -0.00319148936170421 -108.4664 39.0422
-6.44787234042553 -5.5031914893617 -105.8322 40.2669
-6.94787234042553 -5.5031914893617 -105.8667 40.185
-7.54787234042553 -3.9031914893617 -105.6786 39.4608
-1.94787234042553 -7.2031914893617 -107.2547 40.4928
-15.2478723404255 -7.8031914893617 -107.1097 37.7717
8.05212765957447 9.4968085106383 -102.1236 38.0494
3.55212765957447 5.59680851063829 -102.3411 40.5453
-1.94787234042553 -6.1031914893617 -105.6319 40.5831
0.852127659574467 7.7968085106383 -102.2939 39.7033
8.55212765957447 1.6968085106383 -102.6803 39.6553
8.05212765957447 9.4968085106383 -102.9297 38.0633
6.95212765957447 7.1968085106383 -103.3219 37.4536
4.75212765957447 1.6968085106383 -103.2986 37.115
-0.847872340425532 8.3968085106383 -102.7233 38.8867
7.45212765957447 1.0968085106383 -103.5439 37.9825
-4.74787234042553 -13.3031914893617 -107.3147 38.0247
6.35212765957447 8.8968085106383 -102.6306 38.0936
8.55212765957447 0.596808510638297 -103.2153 38.0636
-6.94787234042553 -5.0031914893617 -107.6556 37.3769
0.852127659574467 7.1968085106383 -103.0822 40.4897
0.852127659574467 7.1968085106383 -103.4986 39.7556
-3.04787234042553 6.09680851063829 -105.0736 40.1589
-5.24787234042553 5.59680851063829 -105.085 40.435
-1.44787234042553 -11.1031914893617 -108.3161 37.335
0.252127659574468 4.4968085106383 -105.0656 39.6211
3.05212765957447 4.9968085106383 -103.8456 39.1289
-5.24787234042553 -1.1031914893617 -108.0947 40.5158
-1.44787234042553 -2.2031914893617 -107.9058 40.0358
-0.247872340425532 -1.1031914893617 -108.4883 37.1986
1.35212765957447 -0.503191489361704 -107.8792 38.4858
0.252127659574468 -2.2031914893617 -104.8661 39.0808
-1.44787234042553 -5.0031914893617 -107.6686 38.0206
-0.247872340425532 -0.503191489361704 -107.6236 38.8522
-0.847872340425532 8.3968085106383 -104.7169 38.2597
5.85212765957447 3.3968085106383 -105.2353 39.8297
6.95212765957447 3.8968085106383 -103.6933 38.0392
3.05212765957447 2.7968085106383 -105.0703 39.4286
2.45212765957447 3.3968085106383 -104.0939 38.8611
-1.94787234042553 -2.8031914893617 -105.7106 40.7022
1.95212765957447 -4.4031914893617 -104.9483 37.9136
8.05212765957447 4.4968085106383 -102.5167 40.8592
1.95212765957447 7.1968085106383 -103.2922 39.5719
7.45212765957447 2.7968085106383 -104.0567 38.3422
-1.94787234042553 -0.503191489361704 -105.2186 40.9656
-6.94787234042553 -7.8031914893617 -106.2792 40.7442
0.852127659574467 2.7968085106383 -104.7956 37.6303
6.95212765957447 6.6968085106383 -102.2986 37.3822
1.35212765957447 -7.2031914893617 -105.4661 38.1311
-2.54787234042553 4.4968085106383 -105.0731 39.7636
-8.04787234042553 -4.4031914893617 -106.2039 40.0375
8.55212765957447 2.1968085106383 -102.2189 40.0583
-1.94787234042553 -3.3031914893617 -106.9092 40.1561
